"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"CARDENZ+01",14805.48,0,11104.11,11104.11,0,0,0,0,0,0
"HS7AJCS+01",7549.24,0,5661.93,5661.93,0,0,0,0,0,0
"LDAPD4Y+01",5000,0,3750,3750,0,0,0,0,0,0
"NYZ5F9U+01",7018.89,0,5264.17,5264.17,0,0,0,0,0,0
"SCFHAV6+01",27059.87,0,20294.9,20294.9,0,0,0,0,0,0
"SMXEWZ9+01",20940,0,15705,15705,0,0,0,0,0,0
"UDRUJBX+01",37346.76,0,28010.07,28010.07,0,0,0,0,0,0
"XVCNMXL+01",18301.68,0,13726.26,13726.26,0,0,0,0,0,0
"YEM47Y6+01",18915.03,0,14186.27,14186.27,0,0,0,0,0,0
"J2PSH88+01",5000,0,3750,3750,0,0,0,0,0,0
"P8ULWR3+01",20333.33,0,15250,15250,0,0,0,0,0,0
"D3V8CER+01",8000,8000,6000,6000,2654.16,2654.16,0,0,0,0
"H8P3FTB+01",7348.84,7348.84,5511.63,5511.63,5511.63,0,0,0,1172.25,1172.25
"FZU5U4E+01",10450.44,10450.44,7837.83,7837.83,7837.83,0,0,0,0,0
"JE8SGAG+01",16236.42,16236.42,12177.31,12177.31,10217.93,10217.93,0,0,0,0
"58VYKVR+01",18859.87,18859.87,14144.9,14144.9,14144.9,14144.9,0,0,0,0
"NMKTCBB+01",37771.15,37771.15,28328.36,28328.36,25454.31,0,0,0,0,0
"G8DDM2M+01",63126,63126,47344.5,47344.5,47344.5,0,0,0,0,0
"N969TLX+01",70947.17,70947.17,53210.38,53210.38,53210.38,53210.38,0,0,0,0
"TH6A3AT+01",73090.54,73090.54,54817.9,54817.9,54817.9,0,0,0,0,0
"4LXAM4N+01",11564.26,11564.26,8673.19,8673.19,0,0,0,0,0,0
"FJ95U86+01",25951.91,25951.91,19463.93,19463.93,0,0,0,0,0,0
"PAL6XG3+01",43032.59,43032.59,32274.44,32274.44,0,0,0,0,0,0
"PYU3BQA+01",43596.45,43596.45,32697.33,32697.33,0,0,0,0,0,0
"H4LM633+01",12964.88,12964.88,9723.66,9723.66,9723.66,0,0,0,0,0
"SMRDKQA+01",13789.79,13789.79,10342.34,10342.34,10342.34,0,5311.68,5311.68,0,0
"C9AAFWT+01",18920.43,18920.43,14190.32,14190.32,14190.32,0,0,0,0,0
"F7L6NTP+01",26369.16,26369.16,19776.87,19776.87,19776.87,0,0,0,0,0
"D3CMJRQ+01",29848,29848,22386,22386,22386,0,0,0,0,0
"7HB28LH+01",45552.19,45552.19,34164.14,34164.14,34164.14,0,0,0,0,0
"BU4K97F+01",47725.9,47725.9,35794.43,35794.43,35794.43,0,0,0,0,0
"SR9Z8RQ+01",11993.87,11993.87,8995.4,8995.4,3265.23,0,0,0,0,0
"FQJBDTM+01",5291.86,5291.86,3968.9,3968.9,3968.9,0,0,0,0,0
"WXKRK8Q+01",11583.49,11583.49,8687.62,8687.62,8687.62,0,0,0,0,0
"CNHKB25+01",20000,20000,15000,15000,13140,13140,0,0,0,0
"NW43B7W+01",12916.51,12916.51,9687.38,9687.38,0,0,0,0,0,0
"WLLRP9W+01",3930.81,3930.81,2948.1,2948.1,0,0,0,0,0,0
"NDECV57+01",3685.89,3685.89,2764.41,2764.41,2764.41,2764.41,0,0,0,0
"5JRDUWS+01",36683.05,36683.05,27512.28,27512.28,12983.18,12983.18,0,0,0,0
"MWHPJPK+01",29961.62,29961.62,22471.21,22471.21,22471.21,22471.21,0,0,0,0
"DDQRDT5+01",30000,30000,22500,22500,22500,0,0,0,0,0
"H35R3B8+01",162075.77,0,121556.83,0,0,0,0,0,0,0
"MMD9647+01",491000,491000,368250,368250,0,0,0,0,0,0
"PEYQSHK+01",519581.83,0,389686.37,0,0,0,0,0,0,0
"S9X5Y5G+01",42901.6,0,32176.2,0,0,0,0,0,0,0
"V4SPAYU+01",82343.6,0,61757.7,0,0,0,0,0,0,0
"W72998K+01",648536,0,486402,0,0,0,0,0,0,0
"C2WZAE8+01",200000,0,150000,0,0,0,0,0,0,0
"GG5E8UU+01",136744.23,0,102558.17,0,0,0,0,0,0,0
"SLM263W+01",240000,0,180000,0,0,0,0,0,0,0
"QAQ4BMB+01",148102,0,111076.5,0,0,0,0,0,0,0
"8V35Y2W+01",55189.32,0,41391.99,0,0,0,0,0,0,0
"BENYEEV+01",56666.71,0,42500.03,0,0,0,0,0,0,0
"D5UAV82+01",107102.43,0,80326.82,0,0,0,0,0,0,0
"NPE259L+01",319985.55,0,239989.16,0,0,0,0,0,0,0
"PG4WAMV+01",104535.07,0,78401.3,0,0,0,0,0,0,0
"AFKBVHV+01",17953.11,0,13464.83,0,0,0,0,0,0,0
"DG9ME34+01",589166.53,0,441874.9,0,0,0,0,0,0,0
"QRMSQUM+01",95000,0,71250,0,0,0,0,0,0,0
"VWG8PTV+01",124450,0,93337.5,0,0,0,0,0,0,0
"WK8LSVE+01",28815.33,0,21611.5,0,0,0,0,0,0,0
"3V6DBMG+01",151948.48,0,113961.36,0,0,0,0,0,0,0
"9BAYJNC+01",405000,0,303750,0,0,0,0,0,0,0
"QCK6LQP+01",99395.31,0,74546.48,0,0,0,0,0,0,0
"T5U6GUZ+01",66071.32,0,49553.49,0,0,0,0,0,0,0
"EF9PDQ9+01",34780.33,0,26085.25,0,0,0,0,0,0,0
"F9JXTMB+01",16772.79,0,12579.59,0,0,0,0,0,0,0
"RGMQ8HB+01",155454.23,0,116590.67,0,0,0,0,0,0,0
"VDPH7GB+01",21011.44,0,15758.58,0,0,0,0,0,0,0
"63VFJUM+01",18411.97,18411.97,13808.97,13808.97,0,0,0,0,0,0
"8NWXT86+01",287669.83,0,215752.37,215752.37,0,0,0,0,0,0
"9VQUM6L+01",160000,160000,120000,120000,0,0,0,0,0,0
"GQSKVVK+01",32114.65,0,24085.99,24085.99,0,0,0,0,0,0
"LC6EAHV+01",955500,0,716625,716625,0,0,0,0,0,0
"T4PEABH+01",272122.84,0,204092.13,204092.13,0,0,0,0,0,0
"TNZKXKS+01",307000,307000,230250,230250,0,0,0,0,0,0
"XGDAMVX+01",95351.39,95351.39,71513.54,71513.54,0,0,0,0,0,0
"GR7L65R+01",185000,185000,138750,138750,0,0,0,0,0,0
"4FD7GQU+01",9930.75,9930.75,7448.06,7448.06,7448.06,0,0,0,0,0
"7CTSWCZ+01",13917.66,13917.66,10438.25,10438.25,10438.25,0,0,0,0,0
"5R4PPCE+01",14207.45,14207.45,10655.59,10655.59,10655.59,0,0,0,0,0
"HY9EHUN+01",16827.8,16827.8,12620.85,12620.85,12620.85,0,0,0,0,0
"44V8FBL+01",18952.34,18952.34,14214.26,14214.26,14214.26,0,0,0,0,0
"MXNBRG6+01",23244.64,23244.64,17433.48,17433.48,17433.48,0,0,0,0,0
"TURDEFH+01",27585.45,27585.45,20689.09,20689.09,20689.09,0,0,0,0,0
"HTFKXC3+01",29974.81,29974.81,22481.11,22481.11,22481.11,0,0,0,0,0
"5UG5GWW+01",30000,30000,22500,22500,22500,0,0,0,0,0
"8HZA2ZN+01",30988.63,30988.63,23241.47,23241.47,23241.47,0,0,0,0,0
"BHGCHWY+01",33262.21,33262.21,24946.66,24946.66,24946.66,0,0,0,0,0
"GFT9EHL+01",33473.97,33473.97,25105.48,25105.48,25105.48,0,0,0,0,0
"69B5G26+01",36056.72,36056.72,27042.54,27042.54,27042.54,0,2781.04,2781.04,0,0
"GKDULYK+01",37396.17,37396.17,28047.13,28047.13,28047.13,0,0,0,0,0
"S4G8SQ4+01",38333.38,38333.38,28750.04,28750.04,28750.04,0,0,0,0,0
"MN6585H+01",42925.6,42925.6,32194.2,32194.2,32194.2,32194.2,0,0,0,0
"WXZHHSN+01",44380.62,44380.62,33285.47,33285.47,33285.47,0,0,0,0,0
"XYXAZQJ+01",44861.08,44861.08,33645.81,33645.81,33645.81,0,0,0,0,0
"MTVZZAG+01",46554.38,46554.38,34915.79,34915.79,34915.79,0,0,0,0,0
"HFRR65E+01",47023.8,47023.8,35267.85,35267.85,35267.85,0,0,0,0,0
"GLKY9GM+01",50000,50000,37500,37500,37500,0,0,0,0,0
"DPZ5T9N+01",54000,54000,40500,40500,40500,0,0,0,0,0
"9NVSUCM+01",56666.8,56666.8,42500.1,42500.1,42500.1,42500.1,0,0,0,0
"E94FBWG+01",61902.36,61902.36,46426.77,46426.77,46426.77,46426.77,0,0,0,0
"SYN7SWA+01",64999.94,64999.94,48749.96,48749.96,48749.96,0,0,0,0,0
"WU2KVGF+01",67500,67500,50625,50625,50625,0,14062.5,14062.5,0,0
"LQZKBU3+01",70322.66,70322.66,52741.99,52741.99,52741.99,0,0,0,0,0
"E6JTHUG+01",76034.42,76034.42,57025.82,57025.82,57025.82,0,0,0,0,0
"52QBCKM+01",79999.72,79999.72,59999.79,59999.79,59999.79,0,0,0,0,0
"432FHQB+01",82322.43,82322.43,61741.82,61741.82,61741.82,0,0,0,0,0
"A58EZYT+01",85000,85000,63750,63750,63750,0,0,0,0,0
"L6CE5T2+01",87836.42,87836.42,65877.32,65877.32,65877.32,0,8520,8520,0,0
"J7TAKJV+01",88172.03,88172.03,66129.02,66129.02,66129.02,0,0,0,0,0
"25SM5QV+01",96697.34,96697.34,72523.01,72523.01,72523.01,0,0,0,0,0
"SSUV5J8+01",98013.84,98013.84,73510.38,73510.38,73510.38,0,0,0,0,0
"3R4AHXX+01",468424.37,468424.37,351318.27,351318.27,87829.56,0,0,0,0,0
"MPJYY8M+01",121189.65,121189.65,90892.24,90892.24,90892.24,0,0,0,0,0
"Q8YSHY7+01",121544.98,121544.98,91158.74,91158.74,91158.74,0,0,0,0,0
"43AD5P4+01",130000,130000,97500,97500,97500,0,0,0,0,0
"B7FGMPV+01",132654.87,132654.87,99491.15,99491.15,99491.15,0,0,0,0,0
"WFUWU9A+01",134107.97,134107.97,100580.98,100580.98,100580.98,0,0,0,0,0
"8BH25LZ+01",136666.69,136666.69,102500.02,102500.02,102500.02,0,0,0,0,0
"DVLETM9+01",138113,138113,103584.75,103584.75,103584.75,0,0,0,0,0
"F46LRJ4+01",150791.6,150791.6,113093.7,113093.7,113093.7,0,0,0,0,0
"P4C2DZS+01",151017.16,151017.16,113262.87,113262.87,113262.87,0,0,0,0,0
"W8MTQSF+01",151552,151552,113664,113664,113664,0,0,0,0,0
"LTWUAGU+01",175000,175000,131250,131250,131250,0,0,0,0,0
"7GGGNVU+01",176173.04,176173.04,132129.78,132129.78,132129.78,0,0,0,0,0
"CL659GC+01",188333.31,188333.31,141249.98,141249.98,141249.98,0,0,0,0,0
"28TRAVF+01",192297,192297,144222.75,144222.75,144222.75,0,0,0,0,0
"NHJTHGF+01",208333.3,208333.3,156249.98,156249.98,156249.98,0,0,0,0,0
"QL42ZNF+01",210937.45,210937.45,158203.09,158203.09,158203.09,0,0,0,0,0
"2Q52ASU+01",220238,220238,165178.5,165178.5,165178.5,0,0,0,0,0
"H9DDH8D+01",248502.3,248502.3,186376.72,186376.72,186376.72,186376.72,0,0,0,0
"YZAWJU6+01",250000.1,250000.1,187500.07,187500.07,187500.07,187500.07,0,0,0,0
"BXEGEYJ+01",257250,257250,192937.5,192937.5,192937.5,0,0,0,0,0
"KLBJ37C+01",284358.18,284358.18,213268.64,213268.64,213268.64,0,0,0,0,0
"G6WL49E+01",379750,379750,284812.5,284812.5,284812.5,0,0,0,0,0
"BU9NQLF+01",381538.04,381538.04,286153.53,286153.53,286153.53,0,0,0,0,0
"EBK9XED+01",550000,550000,412500,412500,412500,0,0,0,0,0
"3MNTUTW+01",550000,550000,412500,412500,412500,0,0,0,0,0
"H5UXSRY+01",606666.67,606666.67,455000,455000,455000,0,0,0,0,0
"2KAEE72+01",731182.54,731182.54,548386.91,548386.91,548386.91,0,0,0,0,0
"6PMJK2C+01",800000,800000,600000,600000,600000,0,0,0,0,0
"UAPE3SL+01",854507.39,854507.39,640880.54,640880.54,640880.54,0,0,0,0,0
"F3VRCPC+01",866669.21,866669.21,650001.91,650001.91,650001.91,0,0,0,0,0
"BCTEYFH+01",1000000,1000000,750000,750000,750000,0,0,0,0,0
"F54KG78+01",1000000,1000000,750000,750000,750000,0,0,0,0,0
"EFZXS4D+01",7951.15,7951.15,5963.36,5963.36,5963.36,0,925.88,395.25,0,530.63
"NH66FYK+01",42139.08,42139.08,31604.31,31604.31,31604.31,0,3750,3750,0,0
"283AUKW+01",4751.43,0,3563.57,0,0,0,0,0,0,0
"6CE3DGA+01",14443.47,0,10832.6,0,0,0,0,0,0,0
"74AWVNK+01",19005.65,0,14254.24,0,0,0,0,0,0,0
"7ACVB5U+01",6935.07,0,5201.3,0,0,0,0,0,0,0
"K2BFZ38+01",4685.17,0,3513.88,0,0,0,0,0,0,0
"L9G3VZ6+01",25749.51,0,19312.13,0,0,0,0,0,0,0
"GB4HN7R+01",25751.16,0,19313.37,0,0,0,0,0,0,0
"3KWQ9QA+01",6132.2,0,4599.15,0,0,0,0,0,0,0
"5WPHN7D+01",5774.99,0,4331.24,0,0,0,0,0,0,0
"KG4ZA63+01",6618.79,0,4964.09,0,0,0,0,0,0,0
"KQPRANG+01",13524.49,0,10143.37,0,0,0,0,0,0,0
"6UA94CG+01",14210.17,0,10657.63,10657.63,0,0,0,0,0,0
"96T2ELD+01",17501.43,17501.43,13126.07,13126.07,0,0,0,0,0,0
"D5ADDQU+01",20096.66,20096.66,15072.49,15072.49,0,0,0,0,0,0
"K8U58UX+01",18812.43,0,14109.32,14109.32,0,0,0,0,0,0
"L6297XM+01",11890.12,0,8917.59,8917.59,0,0,0,0,0,0
"NS84KRU+01",5231.33,0,3923.5,3923.5,0,0,0,0,0,0
"TSZK435+01",9743.89,0,7307.92,7307.92,0,0,0,0,0,0
"WC98JSW+01",10453.09,0,7839.82,7839.82,0,0,0,0,0,0
"XTBDAJG+01",6000,0,4500,4500,0,0,0,0,0,0
"TR4GJYB+01",6195.29,6195.29,4646.47,4646.47,1813.16,0,0,322.58,434.84,112.26
"4TLMW2E+01",2877.51,2877.51,2158.13,2158.13,2158.13,0,0,0,0,0
"JC2SWC8+01",5000,5000,3750,3750,3750,0,0,0,0,0
"YKPCQGD+01",7038.58,7038.58,5278.94,5278.94,5278.94,0,0,0,0,0
"VA3SZS6+01",7152.78,7152.78,5364.59,5364.59,5364.59,0,0,0,0,0
"V76926H+01",9629,9629,7221.75,7221.75,7221.75,0,0,0,0,0
"3R26MNA+01",11073.33,11073.33,8305,8305,8305,0,0,0,0,0
"ZLJ4U42+01",15000,15000,11250,11250,11250,0,0,0,196.1,196.1
"L2FXSPP+01",19535.71,19535.71,14651.78,14651.78,14651.78,0,991.34,1913.84,1316.25,393.75
"Q9PL6LS+01",19755.11,19755.11,14816.33,14816.33,14816.33,0,0,0,0,0
"AK4NWQR+01",30000,30000,22500,22500,20488.32,0,0,0,157.5,157.5
"G7ND3PB+01",27849.84,27849.84,20887.38,20887.38,20887.38,0,0,0,0,0
"ZTMFVSP+01",8815.85,8815.85,6611.89,6611.89,6611.89,0,0,0,0,0
"S2SGTD4+01",4405.48,4405.48,3304.11,3304.11,3304.11,0,0,0,0,0
"2DVSAD7+01",6715.36,6715.36,5036.52,5036.52,5036.52,0,0,0,0,0
"5SZ2ZPY+01",8000,8000,6000,6000,6000,6000,0,0,0,0
"KETDK7E+01",8780.3,8780.3,6585.23,6585.23,6585.23,0,0,0,0,0
"748DHAW+01",9000,9000,6750,6750,6750,0,0,0,0,0
"WXME92B+01",10000,10000,7500,7500,7500,0,0,0,0,0
"NA3XUAB+01",490000,490000,367500,367500,0,0,0,0,0,0
"P9MPEML+01",6571.34,6571.34,4928.51,4928.51,3022.5,0,0,0,0,0
"E7YXRJC+01",47916.67,0,35937.5,0,0,0,0,0,0,0
"SJ3MSY8+01",97619.04,0,73214.28,0,0,0,0,0,0,0
"Z4RBJD6+01",222844.44,0,167133.3299,0,0,0,0,0,0,0
"K8L33QL+01",121800,0,91350,0,0,0,0,0,0,0
"EJP2V6W+01",54150,0,40612.5,0,0,0,0,0,0,0
"J7RNP8S+01",70000,0,52500,0,0,0,0,0,0,0
"5BJ9MTQ+01",28000,0,21000,0,0,0,0,0,0,0
"VYKURHB+01",22407.24,0,16805.43,0,0,0,0,0,0,0
"RW53J76+01",140000,0,105000,0,0,0,0,0,0,0
"7TB9ATM+01",27972.35,0,20979.26,0,0,0,0,0,0,0
"GZ6CNVS+01",33000,0,24750,0,0,0,0,0,0,0
"8LCFYKD+01",64166.68,0,48125.01,48125.01,0,0,0,0,0,0
"C88WCEV+01",29411.8,0,22058.85,22058.85,0,0,0,0,0,0
"CY22SKW+01",76500,0,57375,57375,0,0,0,0,0,0
"QNH638W+01",50000,0,37500,37500,0,0,0,0,0,0
"VARWL3L+01",92500,0,69375,69375,0,0,0,0,0,0
"5UXDXYN+01",26000.08,26000.08,19500.06,19500.06,0,0,0,0,0,0
"5YPD28D+01",34000.08,34000.08,25500.06,25500.06,0,0,0,0,0,0
"9WKC456+01",187500.26,187500.26,140625.19,140625.19,0,0,0,0,0,0
"AZXYPJQ+01",155944,155944,116958,116958,0,0,0,0,0,0
"BEPJ7J6+01",33333.45,33333.45,25000.08,25000.08,0,0,0,0,0,0
"KXJW4TX+01",95000,95000,71250,71250,0,0,0,0,0,0
"LE3G4Y2+01",7500.12,7500.12,5625.09,5625.09,0,0,0,0,0,0
"LX4KPX4+01",32000.12,32000.12,24000.09,24000.09,0,0,0,0,0,0
"RMT7SJA+01",49999.9,49999.9,37499.92,37499.92,0,0,0,0,0,0
"UJ2LV8C+01",35749.93,35749.93,26812.44,26812.44,0,0,0,0,0,0
"V3EH3GP+01",82614.57,82614.57,61960.92,61960.92,0,0,0,0,0,0
"VSB96LF+01",58868.41,58868.41,44151.3,44151.3,0,0,0,0,0,0
"W65UHYZ+01",129999.91,129999.91,97499.93,97499.93,0,0,0,0,0,0
"WDR9XKR+01",302222.23,302222.23,226666.67,226666.67,0,0,0,0,0,0
"ZWRUMEM+01",89218.4,89218.4,66913.8,66913.8,0,0,0,0,0,0
"22HFRTG+01",21333.52,21333.52,16000.14,16000.14,0,0,0,0,0,0
"2ERQKQ8+01",29474.22,29474.22,22105.66,22105.66,0,0,0,0,0,0
"2T49NVJ+01",468750,468750,351562.5,351562.5,0,0,0,0,0,0
"39BVPPQ+01",34305.48,34305.48,25729.11,25729.11,0,0,0,0,0,0
"3D922UW+01",87500.1,87500.1,65625.07,65625.07,0,0,0,0,0,0
"52R4WAD+01",85017.12,85017.12,63762.84,63762.84,0,0,0,0,0,0
"5NJE455+01",221354.12,221354.12,166015.59,166015.59,0,0,0,0,0,0
"8QDGTGH+01",20000.24,20000.24,15000.18,15000.18,0,0,0,0,0,0
"93QM7GT+01",10416.54,10416.54,7812.4,7812.4,0,0,0,0,0,0
"AEJL3RT+01",27222.4,27222.4,20416.8,20416.8,0,0,0,0,0,0
"DNHF47P+01",22666.84,22666.84,17000.13,17000.13,0,0,0,0,0,0
"EHJQA98+01",41666.78,41666.78,31250.08,31250.08,0,0,0,0,0,0
"EYZR339+01",792857.15,792857.15,594642.86,594642.86,0,0,0,0,0,0
"EZ7WPG8+01",30677.02,30677.02,23007.76,23007.76,0,0,0,0,0,0
"FWERY99+01",22958.46,22958.46,17218.84,17218.84,0,0,0,0,0,0
"GCTR3NX+01",365217.45,365217.45,273913.08,273913.08,0,0,0,0,0,0
"MLPAZ87+01",25422.12,25422.12,19066.59,19066.59,0,0,0,0,0,0
"NBUPN4H+01",93749.9,93749.9,70312.42,70312.42,0,0,0,0,0,0
"R7V6964+01",100477.92,100477.92,75358.44,75358.44,0,0,0,0,0,0
"TAJFPAD+01",24561.49,24561.49,18421.11,18421.11,0,0,0,0,0,0
"XJF4E2B+01",25000,25000,18750,18750,0,0,0,0,0,0
"XTRA42W+01",11666.56,11666.56,8749.92,8749.92,0,0,0,0,0,0
"ZLS76LK+01",7228.84,7228.84,5421.63,5421.63,0,0,0,0,0,0
"2DD67MS+01",69994.3,69994.3,52495.72,52495.72,0,0,0,0,0,0
"5D8QE2A+01",28750,28750,21562.5,21562.5,0,0,0,0,0,0
"PWA29N4+01",6666.76,6666.76,5000.07,5000.07,5000.07,0,0,0,0,0
"SFH572L+01",11493.81,11493.81,8620.35,8620.35,8620.35,8620.35,0,0,0,0
"TXR6MZE+01",16000,16000,12000,12000,12000,0,0,0,0,0
"R7T5SLV+01",16145.89,16145.89,12109.42,12109.42,12109.42,0,0,0,0,0
"NSZLD2T+01",16220.1,16220.1,12165.08,12165.08,12165.08,0,0,0,0,0
"2JUJF63+01",16466.74,16466.74,12350.06,12350.06,12350.06,0,0,0,0,0
"AJHEBSM+01",17499.95,17499.95,13124.96,13124.96,13124.96,0,0,0,0,0
"YDRF7N5+01",17666.69,17666.69,13250.02,13250.02,13250.02,0,0,0,0,0
"D8XASWP+01",18055.53,18055.53,13541.65,13541.65,13541.65,0,0,0,0,0
"R2PYZRT+01",18333.4,18333.4,13750.05,13750.05,13750.05,0,0,0,0,0
"V9H7P5J+01",18713.82,18713.82,14035.37,14035.37,14035.37,0,0,0,0,0
"UZMJG4J+01",18999.92,18999.92,14249.94,14249.94,14249.94,0,0,0,0,0
"UJ3KY2K+01",19166.66,19166.66,14375,14375,14375,0,0,0,0,0
"4PNS2R5+01",19166.71,19166.71,14375.03,14375.03,14375.03,0,0,0,0,0
"Y3UYLQD+01",20000,20000,15000,15000,15000,0,0,0,0,0
"F9PMR2Q+01",20284.14,20284.14,15213.11,15213.11,15213.11,0,0,0,0,0
"JBNATLD+01",21233.45,21233.45,15925.09,15925.09,15925.09,0,0,0,0,0
"536L4JL+01",22499.24,22499.24,16874.43,16874.43,16874.43,0,0,0,0,0
"6C9U4NF+01",22500,22500,16875,16875,16875,0,0,0,0,0
"PGYENUM+01",23334.28,23334.28,17500.71,17500.71,17500.71,0,0,0,0,0
"8PXSGY7+01",23684.21,23684.21,17763.16,17763.16,17763.16,0,0,0,0,0
"EYWXAHD+01",24600,24600,18450,18450,18450,18450,0,0,0,0
"NXK37VV+01",25284.78,25284.78,18963.59,18963.59,18963.59,0,0,0,0,0
"ZBSQB2L+01",25333.26,25333.26,18999.94,18999.94,18999.94,18999.94,0,0,0,0
"NLJZZD2+01",25999.93,25999.93,19499.94,19499.94,19499.94,19499.94,0,0,0,0
"AXSGV9T+01",26500,26500,19875,19875,19875,19875,0,0,0,0
"YH49B4U+01",26666.8,26666.8,20000.1,20000.1,20000.1,0,0,0,0,0
"EUGKPXC+01",27000,27000,20250,20250,20250,0,0,0,0,0
"VZBQSRG+01",27125.02,27125.02,20343.77,20343.77,20343.77,0,0,0,0,0
"NF8EK99+01",27419.73,27419.73,20564.8,20564.8,20564.8,0,0,0,0,0
"NUNZPYS+01",27983.76,27983.76,20987.82,20987.82,20987.82,0,0,0,0,0
"GVTR89T+01",28500,28500,21375,21375,21375,21375,0,0,0,0
"4JVJ6CH+01",28583.37,28583.37,21437.53,21437.53,21437.53,0,0,0,0,0
"RGAT95X+01",28583.37,28583.37,21437.53,21437.53,21437.53,0,0,0,0,0
"LW59MFA+01",28606.06,28606.06,21454.55,21454.55,21454.55,0,0,0,0,0
"ZPYJ9M7+01",28666.61,28666.61,21499.96,21499.96,21499.96,0,0,0,0,0
"UAKRCXH+01",28816.68,28816.68,21612.51,21612.51,21612.51,0,0,0,0,0
"UM25WNN+01",29166.7,29166.7,21875.03,21875.03,21875.03,0,0,0,0,0
"U9AXW25+01",29220.69,29220.69,21915.51,21915.51,21915.51,0,0,0,0,0
"4LLW72R+01",29444.55,29444.55,22083.41,22083.41,22083.41,22083.41,0,0,0,0
"PSLKFLM+01",30000,30000,22500,22500,22500,0,0,0,0,0
"V7XW3PQ+01",30466.72,30466.72,22850.04,22850.04,22850.04,0,22850.04,22850.04,0,0
"S62R2JP+01",31000,31000,23250,23250,23250,0,0,0,0,0
"XQ48FK2+01",31064.17,31064.17,23298.13,23298.13,23298.13,0,0,0,0,0
"YETYTFG+01",31111.16,31111.16,23333.37,23333.37,23333.37,0,0,0,0,0
"7Y54M7S+01",32083.3,32083.3,24062.47,24062.47,24062.47,24062.47,0,0,0,0
"N7WZ6EM+01",32086.34,32086.34,24064.76,24064.76,24064.76,0,0,0,0,0
"HQQEKZE+01",32857.15,32857.15,24642.86,24642.86,24642.86,24642.86,0,0,0,0
"9QQDAWY+01",33000,33000,24750,24750,24750,0,0,0,0,0
"TUBWPSQ+01",33000,33000,24750,24750,24750,0,0,0,0,0
"XR3YVD9+01",33000,33000,24750,24750,24750,24750,0,0,0,0
"F2YM99D+01",33076.93,33076.93,24807.7,24807.7,24807.7,0,0,0,0,0
"JP2Q3M7+01",33333.36,33333.36,25000.02,25000.02,25000.02,25000.02,0,0,0,0
"A57CFV5+01",33540,33540,25155,25155,25155,0,0,0,0,0
"68YVHKV+01",33947.42,33947.42,25460.56,25460.56,25460.56,25460.56,0,0,0,0
"ZZS6W22+01",33958.38,33958.38,25468.79,25468.79,25468.79,0,0,0,0,0
"9SUR9GL+01",34582.7,34582.7,25937.03,25937.03,25937.03,0,16389.76,16389.76,0,0
"XL6FEF8+01",35000,35000,26250,26250,26250,0,0,0,0,0
"R2AUGRN+01",35854.75,35854.75,26891.06,26891.06,26891.06,0,186,186,0,0
"4U55MP6+01",35906.34,35906.34,26929.75,26929.75,26929.75,0,0,0,0,0
"HQMEBY5+01",35999.98,35999.98,26999.99,26999.99,26999.99,0,0,0,0,0
"Z2N8896+01",36000,36000,27000,27000,27000,27000,0,0,0,0
"MFGYTAN+01",36666.65,36666.65,27499.99,27499.99,27499.99,0,0,0,0,0
"TDAUXXS+01",36666.72,36666.72,27500.04,27500.04,27500.04,0,0,0,0,0
"H6DYJLT+01",37050,37050,27787.5,27787.5,27787.5,0,0,0,0,0
"638DSSZ+01",37400.03,37400.03,28050.02,28050.02,28050.02,0,0,0,0,0
"EDX8ECL+01",38000,38000,28500,28500,28500,0,0,0,0,0
"5FQYHH6+01",38500,38500,28875,28875,28875,0,0,0,0,0
"Y3XUVUZ+01",39000,39000,29250,29250,29250,0,0,0,0,0
"YM9XKXP+01",39081.03,39081.03,29310.77,29310.77,29310.77,0,0,0,0,0
"W4JVP82+01",39814.77,39814.77,29861.08,29861.08,29861.08,0,0,0,0,0
"TDL9AGZ+01",40394,40394,30295.5,30295.5,30295.5,30295.5,0,0,0,0
"JX3GHEF+01",40500,40500,30375,30375,30375,0,0,0,0,0
"ZLNUMBD+01",40624.97,40624.97,30468.73,30468.73,30468.73,0,0,0,0,0
"4JDEKK4+01",40733.36,40733.36,30550.02,30550.02,30550.02,0,0,0,0,0
"8TMR8HM+01",41162.4,41162.4,30871.8,30871.8,30871.8,0,0,0,0,0
"CLL3HT2+01",36399.63,36399.63,27299.72,27299.72,31179.05,0,0,0,0,0
"VLXWG58+01",42500,42500,31875,31875,31875,0,0,0,0,0
"ZYHWL7E+01",42708.31,42708.31,32031.23,32031.23,32031.23,0,0,0,0,0
"8C842RP+01",42750,42750,32062.5,32062.5,32062.5,32062.5,0,0,0,0
"USN74P2+01",42933.38,42933.38,32200.04,32200.04,32200.04,0,0,0,0,0
"U5W3KDT+01",43700,43700,32775,32775,32775,0,0,0,0,0
"X7AC6Z4+01",44000,44000,33000,33000,33000,0,0,0,0,0
"SLN47PW+01",44479.07,44479.07,33359.3,33359.3,33359.3,0,0,0,0,0
"PS483JM+01",45178.6,45178.6,33883.95,33883.95,33883.95,0,0,0,0,0
